,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
0,cluster analysis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Image segmentation,0.5,0.5,0.378,0.448,0.6,0.6,0.6,0.7
2,Parallel algorithm,1.0,1.0,0.725,0.725,0.8,0.8,0.8,0.8
3,Monte Carlo method,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,Convex optimization,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,Dimensionality reduction,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,Facial recognition system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,k-nearest neighbors algorithm,1.0,1.0,0.852,0.852,1.0,0.9,1.0,0.9
8,Hierarchical clustering,1.0,1.0,0.598,0.757,0.6,0.8,0.8,0.9
9,Automatic summarization,1.0,1.0,0.757,0.757,0.8,0.9,0.8,0.9
10,Dynamic programming,1.0,1.0,0.516,0.516,0.8,0.6,0.8,0.6
11,Genetic algorithm,1.0,1.0,0.171,0.211,0.2,0.3,0.2,0.4
12,Human-computer interaction,0.0,1.0,0.0,0.733,0.0,0.0,1.0,0.8
13,Categorial grammar,0.5,0.5,0.177,0.221,0.6,0.3,0.6,0.4
14,Semantic Web,1.0,1.0,0.762,0.9,1.0,0.8,1.0,0.9
15,fuzzy logic,1.0,1.0,0.637,0.717,0.8,0.7,0.8,0.8
16,image restoration,1.0,1.0,0.8,0.9,1.0,0.8,1.0,0.9
17,generative model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,search algorithm,0.333,0.333,0.166,0.263,0.4,0.4,0.6,0.5
19,sample size determination,1.0,1.0,0.583,0.583,0.8,0.7,0.8,0.7
20,anomaly detection,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,sentiment analysis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,semantic similarity,1.0,1.0,0.89,0.89,1.0,0.9,1.0,0.9
23,world wide web,1.0,1.0,0.879,0.879,1.0,0.9,1.0,0.9
24,gibbs sampling,1.0,1.0,0.79,0.79,0.8,0.9,0.8,0.9
25,user interface,1.0,1.0,0.551,0.7,0.6,0.7,0.8,0.8
26,belief propagation,1.0,1.0,0.455,0.89,0.6,0.6,1.0,0.9
27,interpolation,0.333,0.333,0.088,0.132,0.2,0.3,0.2,0.4
28,wavelet transform,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,transfer of learning,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
30,topic model,1.0,1.0,0.789,0.789,1.0,0.8,1.0,0.8
31,clustering high-dimensional data,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,game theory,0.5,0.5,0.563,0.563,0.6,0.8,0.6,0.8
33,biometrics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,constraint satisfaction,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,combinatorial optimization,0.5,0.5,0.26,0.26,0.4,0.5,0.4,0.5
36,speech processing,1.0,1.0,0.89,0.89,1.0,0.9,1.0,0.9
37,multi-agent system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,mean field theory,1.0,1.0,0.382,0.531,0.6,0.5,0.6,0.7
39,social network,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
