,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
0,cluster analysis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Image segmentation,1.0,1.0,0.852,0.852,1.0,0.9,1.0,0.9
2,Parallel algorithm,1.0,1.0,0.657,0.657,0.8,0.7,0.8,0.7
3,Monte Carlo method,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,Convex optimization,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,Dimensionality reduction,1.0,1.0,0.67,0.67,1.0,0.7,1.0,0.7
6,Facial recognition system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,k-nearest neighbors algorithm,1.0,1.0,0.835,0.835,0.8,0.9,0.8,0.9
8,Hierarchical clustering,0.5,0.5,0.588,0.707,0.8,0.8,0.8,0.9
9,Automatic summarization,1.0,1.0,0.491,0.491,0.8,0.6,0.8,0.6
10,Dynamic programming,1.0,1.0,0.637,0.637,1.0,0.7,1.0,0.7
11,Genetic algorithm,1.0,1.0,0.317,0.317,0.6,0.5,0.6,0.5
12,Human-computer interaction,0.0,1.0,0.0,0.866,0.0,0.0,1.0,0.9
13,Categorial grammar,1.0,1.0,0.361,0.361,0.6,0.5,0.6,0.5
14,Semantic Web,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
15,fuzzy logic,1.0,1.0,0.671,0.671,0.8,0.8,0.8,0.8
16,image restoration,1.0,1.0,0.8,0.9,1.0,0.8,1.0,0.9
17,generative model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,search algorithm,0.333,0.333,0.215,0.39,0.2,0.5,0.4,0.7
19,sample size determination,1.0,1.0,0.583,0.583,0.8,0.7,0.8,0.7
20,anomaly detection,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,sentiment analysis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,semantic similarity,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
23,world wide web,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
24,gibbs sampling,1.0,1.0,0.8,0.8,1.0,0.8,1.0,0.8
25,user interface,1.0,1.0,0.408,0.594,0.6,0.6,0.8,0.7
26,belief propagation,1.0,1.0,0.455,0.89,0.6,0.6,1.0,0.9
27,interpolation,0.333,0.333,0.033,0.033,0.2,0.1,0.2,0.1
28,wavelet transform,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,transfer of learning,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
30,topic model,1.0,1.0,0.89,0.89,1.0,0.9,1.0,0.9
31,clustering high-dimensional data,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,game theory,0.5,0.5,0.707,0.707,0.8,0.9,0.8,0.9
33,biometrics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,constraint satisfaction,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,combinatorial optimization,0.5,0.5,0.207,0.608,0.4,0.4,0.8,0.8
36,speech processing,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,multi-agent system,1.0,1.0,0.616,0.616,0.8,0.7,0.8,0.7
38,mean field theory,0.5,0.5,0.075,0.154,0.2,0.2,0.4,0.3
39,social network,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,lattice model,0.2,1.0,0.02,0.372,0.2,0.1,0.8,0.5
41,automatic image annotation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,computational geometry,0.5,1.0,0.598,1.0,0.8,0.8,1.0,1.0
43,Evolutionary algorithm,1.0,1.0,0.733,0.866,1.0,0.8,1.0,0.9
44,web search query,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
45,eye tracking,1.0,1.0,0.835,0.835,0.8,0.9,0.8,0.9
46,query optimization,0.5,1.0,0.222,0.79,0.4,0.5,0.8,0.9
47,logic programming,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
48,Hyperspectral imaging,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,Bayesian statistics,1.0,1.0,0.349,1.0,0.6,0.5,1.0,1.0
50,kernel density estimation,0.5,1.0,0.598,1.0,0.8,0.8,1.0,1.0
51,learning to rank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,relational database,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,activity recognition,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
54,wearable computer,1.0,1.0,0.43,0.43,0.8,0.5,0.8,0.5
55,big data,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,ensemble learning,1.0,1.0,0.361,0.361,0.6,0.5,0.6,0.5
57,wordnet,0.333,1.0,0.166,0.525,0.4,0.4,0.6,0.7
58,medical imaging,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
59,deconvolution,1.0,1.0,0.426,0.852,0.6,0.6,1.0,0.9
60,Latent Dirichlet allocation,1.0,1.0,0.866,1.0,1.0,0.9,1.0,1.0
61,Euclidian distance,0.0,1.0,0.0,0.446,0.0,0.0,0.6,0.6
62,web service,0.5,1.0,0.531,1.0,0.6,0.8,1.0,1.0
63,multi-task learning,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,Linear separability,0.0,1.0,0.0,0.866,0.0,0.0,1.0,0.9
65,OWL-S,0.5,0.5,0.112,0.112,0.2,0.3,0.2,0.3
66,Wireless sensor network,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,Semantic role labeling,1.0,1.0,0.78,0.78,1.0,0.8,1.0,0.8
68,Continuous-time Markov chain,0.167,1.0,0.042,0.8,0.0,0.2,1.0,0.8
69,Open Knowledge Base Connectivity,0.0,1.0,0.0,0.725,0.0,0.0,0.8,0.8
70,Propagation of uncertainty,0.0,1.0,0.0,0.25,0.0,0.0,0.4,0.3
71,Fast Fourier transform,1.0,1.0,0.551,0.7,0.6,0.7,0.8,0.8
72,Security token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Novelty detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,semantic grid,0.111,1.0,0.011,1.0,0.0,0.1,1.0,1.0
75,Knowledge extraction,0.2,0.5,0.045,0.528,0.2,0.2,0.8,0.7
76,Computational biology,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,Web 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Network theory,1.0,1.0,0.129,0.78,0.2,0.2,1.0,0.8
79,Video denoising,0.5,0.5,0.161,0.161,0.2,0.4,0.2,0.4
80,Quantum information science,0.5,1.0,0.418,0.852,0.8,0.6,1.0,0.9
81,Color quantization,1.0,1.0,0.1,0.815,0.2,0.1,0.8,0.9
82,social web,1.0,1.0,0.19,1.0,0.4,0.3,1.0,1.0
83,entity linking,1.0,1.0,0.38,0.38,0.6,0.5,0.6,0.5
84,information privacy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,random forest,1.0,1.0,0.658,0.658,0.8,0.8,0.8,0.8
86,cloud computing,1.0,1.0,0.426,0.426,0.6,0.6,0.6,0.6
87,Knapsack problem,0.25,0.25,0.235,0.235,0.4,0.5,0.4,0.5
88,Linear algebra,0.5,1.0,0.41,1.0,0.8,0.6,1.0,1.0
89,batch processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,rule induction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Uncertainty quantification,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
92,Computer architecture,0.333,1.0,0.121,0.657,0.4,0.3,0.8,0.7
93,Best-first search,0.5,0.5,0.072,0.072,0.2,0.2,0.2,0.2
94,Gaussian random field,0.5,0.5,0.1,0.138,0.4,0.2,0.4,0.3
95,Support vector machine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,ontology language,1.0,1.0,0.465,1.0,0.6,0.6,1.0,1.0
97,machine translation,1.0,1.0,0.835,1.0,0.8,0.9,1.0,1.0
98,middleware,0.333,0.333,0.243,0.243,0.6,0.5,0.6,0.5
99,Newton's method,0.5,0.5,0.342,0.342,0.6,0.6,0.6,0.6
