,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
0,cluster analysis,1.0,1.0,0.866,0.866,1.0,0.9,1.0,0.9
1,Image segmentation,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
2,Parallel algorithm,0.5,0.5,0.496,0.576,0.8,0.7,0.8,0.8
3,Monte Carlo method,1.0,1.0,0.815,0.815,0.8,0.9,0.8,0.9
4,Convex optimization,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,Dimensionality reduction,1.0,1.0,0.637,0.637,1.0,0.7,1.0,0.7
6,Facial recognition system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,k-nearest neighbors algorithm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,Hierarchical clustering,1.0,1.0,0.408,0.485,0.6,0.6,0.6,0.7
9,Automatic summarization,1.0,1.0,0.437,0.437,0.8,0.6,0.8,0.6
10,Dynamic programming,1.0,1.0,0.436,0.567,0.8,0.5,1.0,0.6
11,Genetic algorithm,0.333,0.333,0.309,0.4,0.6,0.6,0.6,0.7
12,Human-computer interaction,0.0,1.0,0.0,0.704,0.0,0.0,0.8,0.8
13,Categorial grammar,1.0,1.0,0.473,0.473,0.6,0.6,0.6,0.6
14,Semantic Web,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,fuzzy logic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,image restoration,1.0,1.0,0.523,0.619,0.8,0.6,0.8,0.7
17,generative model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,search algorithm,1.0,1.0,0.304,0.758,0.6,0.4,1.0,0.8
19,sample size determination,1.0,1.0,0.363,0.363,0.4,0.5,0.4,0.5
20,anomaly detection,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,sentiment analysis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,semantic similarity,1.0,1.0,0.692,0.692,0.8,0.8,0.8,0.8
23,world wide web,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
