,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
0,cluster analysis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Image segmentation,1.0,1.0,0.852,0.852,1.0,0.9,1.0,0.9
2,Parallel algorithm,0.5,0.5,0.488,0.488,0.8,0.7,0.8,0.7
3,Monte Carlo method,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,Convex optimization,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,Dimensionality reduction,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,Facial recognition system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,k-nearest neighbors algorithm,1.0,1.0,0.852,0.852,1.0,0.9,1.0,0.9
8,Hierarchical clustering,0.5,0.5,0.548,0.707,0.6,0.8,0.8,0.9
9,Automatic summarization,1.0,1.0,0.757,0.757,0.8,0.9,0.8,0.9
10,Dynamic programming,1.0,1.0,0.599,0.599,0.8,0.7,0.8,0.7
11,Genetic algorithm,1.0,1.0,0.358,0.358,0.6,0.5,0.6,0.5
12,Human-computer interaction,0.0,1.0,0.0,0.852,0.0,0.0,1.0,0.9
13,Categorial grammar,1.0,1.0,0.293,0.293,0.6,0.4,0.6,0.4
14,Semantic Web,1.0,1.0,0.743,0.879,1.0,0.8,1.0,0.9
15,fuzzy logic,1.0,1.0,0.657,0.737,0.8,0.7,0.8,0.8
16,image restoration,1.0,1.0,0.8,0.8,1.0,0.8,1.0,0.8
17,generative model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,search algorithm,0.333,0.333,0.154,0.306,0.2,0.4,0.4,0.6
19,sample size determination,1.0,1.0,0.382,0.382,0.6,0.5,0.6,0.5
20,anomaly detection,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,sentiment analysis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,semantic similarity,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
23,world wide web,1.0,1.0,0.879,0.879,1.0,0.9,1.0,0.9
24,gibbs sampling,1.0,1.0,0.79,0.79,0.8,0.9,0.8,0.9
25,user interface,1.0,1.0,0.366,0.456,0.6,0.5,0.6,0.6
26,belief propagation,1.0,1.0,0.348,0.879,0.6,0.5,1.0,0.9
27,interpolation,0.333,0.333,0.23,0.23,0.4,0.5,0.4,0.5
28,wavelet transform,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,transfer of learning,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,topic model,1.0,1.0,0.733,0.733,1.0,0.8,1.0,0.8
31,clustering high-dimensional data,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,game theory,0.5,0.5,0.707,0.707,0.8,0.9,0.8,0.9
33,biometrics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,constraint satisfaction,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,combinatorial optimization,0.333,0.333,0.211,0.38,0.4,0.5,0.4,0.7
36,speech processing,1.0,1.0,0.879,1.0,1.0,0.9,1.0,1.0
37,multi-agent system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,mean field theory,1.0,1.0,0.392,0.473,0.6,0.5,0.6,0.6
39,social network,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,lattice model,0.0,1.0,0.0,0.25,0.0,0.0,0.4,0.3
41,automatic image annotation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,computational geometry,0.5,1.0,0.608,1.0,0.8,0.8,1.0,1.0
43,Evolutionary algorithm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,web search query,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
45,eye tracking,1.0,1.0,0.852,0.852,1.0,0.9,1.0,0.9
46,query optimization,1.0,1.0,0.673,1.0,1.0,0.7,1.0,1.0
47,logic programming,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,Hyperspectral imaging,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,Bayesian statistics,1.0,1.0,0.38,1.0,0.6,0.5,1.0,1.0
50,kernel density estimation,0.5,1.0,0.471,1.0,0.8,0.7,1.0,1.0
51,learning to rank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,relational database,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,activity recognition,1.0,1.0,0.89,0.89,1.0,0.9,1.0,0.9
54,wearable computer,1.0,1.0,0.299,0.299,0.6,0.4,0.6,0.4
55,big data,1.0,1.0,0.12,0.152,0.2,0.2,0.2,0.3
56,ensemble learning,1.0,1.0,0.347,0.347,0.6,0.5,0.6,0.5
57,wordnet,0.333,0.5,0.171,0.396,0.4,0.4,0.6,0.6
58,medical imaging,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,deconvolution,0.333,1.0,0.088,0.717,0.2,0.3,0.8,0.8
60,Latent Dirichlet allocation,1.0,1.0,0.684,0.852,0.8,0.8,1.0,0.9
61,Euclidian distance,0.0,0.2,0.0,0.196,0.0,0.0,0.2,0.5
62,web service,1.0,1.0,0.757,1.0,0.8,0.9,1.0,1.0
63,multi-task learning,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
64,Linear separability,0.0,1.0,0.0,0.438,0.0,0.0,0.8,0.5
65,OWL-S,1.0,1.0,0.304,0.304,0.6,0.4,0.6,0.4
66,Wireless sensor network,1.0,1.0,0.67,0.768,1.0,0.7,1.0,0.8
67,Semantic role labeling,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
68,Continuous-time Markov chain,0.125,1.0,0.032,1.0,0.0,0.2,1.0,1.0
69,Open Knowledge Base Connectivity,0.0,1.0,0.0,0.852,0.0,0.0,1.0,0.9
70,Propagation of uncertainty,0.0,1.0,0.0,0.25,0.0,0.0,0.4,0.3
71,Fast Fourier transform,1.0,1.0,0.415,0.789,0.6,0.6,1.0,0.8
72,Security token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Novelty detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,semantic grid,0.125,1.0,0.012,1.0,0.0,0.1,1.0,1.0
75,Knowledge extraction,0.5,0.5,0.15,0.707,0.4,0.3,0.8,0.9
76,Computational biology,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,Web 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Network theory,0.0,1.0,0.0,0.704,0.0,0.0,0.8,0.8
79,Video denoising,0.5,0.5,0.117,0.117,0.4,0.2,0.4,0.2
80,Quantum information science,1.0,1.0,0.473,1.0,0.4,0.7,1.0,1.0
81,Color quantization,1.0,1.0,0.1,0.815,0.2,0.1,0.8,0.9
82,social web,0.25,1.0,0.115,1.0,0.4,0.3,1.0,1.0
83,entity linking,1.0,1.0,0.376,0.376,0.4,0.6,0.4,0.6
84,information privacy,1.0,1.0,0.8,0.8,1.0,0.8,1.0,0.8
85,random forest,1.0,1.0,0.658,0.658,0.8,0.8,0.8,0.8
86,cloud computing,1.0,1.0,0.471,0.471,0.8,0.5,0.8,0.5
87,Knapsack problem,0.25,0.25,0.273,0.273,0.4,0.6,0.4,0.6
88,Linear algebra,1.0,1.0,0.407,0.531,0.6,0.5,0.8,0.6
89,batch processing,0.0,0.1,0.0,0.01,0.0,0.0,0.0,0.1
90,rule induction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Uncertainty quantification,0.0,1.0,0.0,0.9,0.0,0.0,1.0,0.9
92,Computer architecture,1.0,1.0,0.411,1.0,0.8,0.5,1.0,1.0
93,Best-first search,0.5,0.5,0.072,0.072,0.2,0.2,0.2,0.2
94,Gaussian random field,1.0,1.0,0.167,0.227,0.4,0.2,0.6,0.3
95,Support vector machine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,ontology language,0.5,1.0,0.112,1.0,0.2,0.3,1.0,1.0
97,machine translation,1.0,1.0,0.667,0.9,0.8,0.8,1.0,0.9
98,middleware,0.333,0.333,0.193,0.193,0.6,0.4,0.6,0.4
99,Newton's method,1.0,1.0,0.704,0.704,0.8,0.8,0.8,0.8
