,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
0,cluster analysis,1.0,1.0,0.79,0.79,0.8,0.9,0.8,0.9
1,Image segmentation,0.5,0.5,0.298,0.396,0.4,0.6,0.4,0.7
2,Parallel algorithm,1.0,1.0,0.356,0.9,0.4,0.5,1.0,0.9
3,Monte Carlo method,1.0,1.0,0.29,0.416,0.4,0.5,0.6,0.6
4,Convex optimization,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
5,Dimensionality reduction,1.0,1.0,0.549,0.637,0.8,0.6,0.8,0.7
6,Facial recognition system,0.167,0.167,0.177,0.177,0.0,0.5,0.0,0.5
7,k-nearest neighbors algorithm,0.5,0.5,0.448,0.448,0.6,0.7,0.6,0.7
8,Hierarchical clustering,1.0,1.0,0.725,0.725,0.8,0.8,0.8,0.8
9,Automatic summarization,0.167,1.0,0.037,0.163,0.0,0.2,0.2,0.3
10,Dynamic programming,0.2,0.333,0.045,0.111,0.2,0.2,0.4,0.3
11,Genetic algorithm,0.25,0.25,0.025,0.054,0.2,0.1,0.2,0.2
12,Human-computer interaction,0.0,1.0,0.0,0.535,0.0,0.0,0.6,0.7
13,Categorial grammar,1.0,1.0,0.167,0.3,0.4,0.2,0.6,0.3
14,Semantic Web,1.0,1.0,0.377,0.619,0.6,0.5,0.8,0.7
15,fuzzy logic,0.333,0.333,0.173,0.228,0.4,0.4,0.4,0.5
16,image restoration,1.0,1.0,0.879,1.0,1.0,0.9,1.0,1.0
17,generative model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,search algorithm,1.0,1.0,0.2,0.233,0.4,0.2,0.4,0.3
19,sample size determination,1.0,1.0,0.79,0.79,0.8,0.9,0.8,0.9
20,anomaly detection,1.0,1.0,0.8,0.89,1.0,0.8,1.0,0.9
21,sentiment analysis,1.0,1.0,0.776,0.776,1.0,0.8,1.0,0.8
22,semantic similarity,1.0,1.0,0.79,0.79,0.8,0.9,0.8,0.9
23,world wide web,1.0,1.0,0.658,0.658,0.8,0.8,0.8,0.8
24,gibbs sampling,1.0,1.0,0.757,0.757,0.8,0.9,0.8,0.9
25,user interface,1.0,1.0,0.704,0.835,0.8,0.8,0.8,0.9
26,belief propagation,1.0,1.0,0.67,0.89,1.0,0.7,1.0,0.9
27,interpolation,0.1,0.1,0.01,0.01,0.0,0.1,0.0,0.1
28,wavelet transform,0.333,0.333,0.058,0.058,0.2,0.2,0.2,0.2
29,transfer of learning,1.0,1.0,0.287,0.287,0.4,0.4,0.4,0.4
30,topic model,1.0,1.0,0.206,0.206,0.2,0.4,0.2,0.4
31,clustering high-dimensional data,1.0,1.0,0.458,0.458,0.6,0.6,0.6,0.6
32,game theory,0.167,0.167,0.042,0.042,0.0,0.2,0.0,0.2
33,biometrics,0.5,0.5,0.248,0.248,0.4,0.5,0.4,0.5
34,constraint satisfaction,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,combinatorial optimization,0.2,0.2,0.146,0.146,0.2,0.4,0.2,0.4
36,speech processing,1.0,1.0,0.89,0.89,1.0,0.9,1.0,0.9
37,multi-agent system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,mean field theory,0.5,0.5,0.211,0.211,0.4,0.4,0.4,0.4
39,social network,0.125,0.2,0.012,0.196,0.0,0.1,0.2,0.5
40,lattice model,0.0,1.0,0.0,0.19,0.0,0.0,0.4,0.3
41,automatic image annotation,1.0,1.0,0.446,0.446,0.4,0.7,0.4,0.7
42,computational geometry,1.0,1.0,0.529,0.653,0.8,0.6,1.0,0.7
43,Evolutionary algorithm,1.0,1.0,0.473,0.717,0.6,0.6,0.8,0.8
44,web search query,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
45,eye tracking,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,query optimization,0.333,1.0,0.409,0.638,0.6,0.7,0.8,0.8
47,logic programming,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,Hyperspectral imaging,0.5,0.5,0.441,0.441,0.8,0.6,0.8,0.6
49,Bayesian statistics,1.0,1.0,0.1,1.0,0.2,0.1,1.0,1.0
50,kernel density estimation,0.143,1.0,0.073,0.566,0.0,0.3,0.6,0.7
51,learning to rank,1.0,1.0,0.408,0.408,0.4,0.6,0.4,0.6
52,relational database,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,activity recognition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,wearable computer,1.0,1.0,0.762,0.762,1.0,0.8,1.0,0.8
55,big data,0.111,0.167,0.031,0.069,0.0,0.2,0.0,0.3
56,ensemble learning,0.2,0.2,0.02,0.02,0.2,0.1,0.2,0.1
57,wordnet,0.143,1.0,0.014,0.283,0.0,0.1,0.4,0.4
58,medical imaging,0.25,0.5,0.123,0.457,0.2,0.4,0.6,0.7
59,deconvolution,0.0,1.0,0.0,0.578,0.0,0.0,0.8,0.7
60,Latent Dirichlet allocation,0.0,1.0,0.0,0.167,0.0,0.0,0.4,0.2
61,Euclidian distance,0.0,0.5,0.0,0.355,0.0,0.0,0.8,0.5
62,web service,0.167,1.0,0.127,1.0,0.0,0.4,1.0,1.0
63,multi-task learning,1.0,1.0,0.613,0.613,0.6,0.8,0.6,0.8
64,Linear separability,0.0,1.0,0.0,0.648,0.0,0.0,0.8,0.8
65,OWL-S,1.0,1.0,0.382,0.382,0.6,0.5,0.6,0.5
66,Wireless sensor network,1.0,1.0,0.473,0.473,0.6,0.6,0.6,0.6
67,Semantic role labeling,1.0,1.0,0.398,0.398,0.6,0.5,0.6,0.5
68,Continuous-time Markov chain,0.333,1.0,0.073,0.852,0.4,0.2,1.0,0.9
69,Open Knowledge Base Connectivity,0.0,1.0,0.0,0.598,0.0,0.0,0.6,0.8
70,Propagation of uncertainty,0.167,1.0,0.017,0.25,0.0,0.1,0.4,0.3
71,Fast Fourier transform,1.0,1.0,0.311,0.482,0.4,0.5,0.6,0.6
72,Security token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Novelty detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,semantic grid,0.0,1.0,0.0,0.7,0.0,0.0,1.0,0.7
75,Knowledge extraction,1.0,1.0,0.461,0.762,0.6,0.6,1.0,0.8
76,Computational biology,1.0,1.0,0.336,0.599,0.6,0.5,0.8,0.7
77,Web 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Network theory,0.0,1.0,0.0,0.17,0.0,0.0,0.4,0.3
79,Video denoising,0.143,0.143,0.014,0.014,0.0,0.1,0.0,0.1
80,Quantum information science,0.5,1.0,0.321,1.0,0.6,0.5,1.0,1.0
81,Color quantization,0.2,1.0,0.02,0.753,0.2,0.1,1.0,0.8
82,social web,0.5,1.0,0.161,0.79,0.2,0.4,0.8,0.9
83,entity linking,0.5,0.5,0.072,0.117,0.2,0.2,0.2,0.3
84,information privacy,0.5,0.5,0.293,0.293,0.6,0.5,0.6,0.5
85,random forest,0.2,0.2,0.02,0.02,0.2,0.1,0.2,0.1
86,cloud computing,0.25,0.25,0.202,0.202,0.4,0.5,0.4,0.5
87,Knapsack problem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Linear algebra,0.125,0.25,0.035,0.136,0.0,0.2,0.2,0.4
89,batch processing,0.167,0.167,0.017,0.017,0.0,0.1,0.0,0.1
90,rule induction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Uncertainty quantification,0.2,1.0,0.086,0.692,0.2,0.3,0.8,0.8
92,Computer architecture,0.143,1.0,0.014,1.0,0.0,0.1,1.0,1.0
93,Best-first search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Gaussian random field,0.2,0.333,0.02,0.073,0.2,0.1,0.4,0.2
95,Support vector machine,1.0,1.0,0.733,0.733,1.0,0.8,1.0,0.8
96,ontology language,0.5,1.0,0.15,1.0,0.4,0.3,1.0,1.0
97,machine translation,1.0,1.0,0.79,1.0,0.8,0.9,1.0,1.0
98,middleware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Newton's method,0.25,0.25,0.025,0.025,0.2,0.1,0.2,0.1
