,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
0,cluster analysis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Image segmentation,1.0,1.0,0.852,0.852,1.0,0.9,1.0,0.9
2,Parallel algorithm,0.5,0.5,0.488,0.488,0.8,0.7,0.8,0.7
3,Monte Carlo method,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,Convex optimization,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,Dimensionality reduction,0.5,0.5,0.707,0.707,0.8,0.9,0.8,0.9
6,Facial recognition system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,k-nearest neighbors algorithm,1.0,1.0,0.835,0.835,0.8,0.9,0.8,0.9
8,Hierarchical clustering,0.5,0.5,0.548,0.707,0.6,0.8,0.8,0.9
9,Automatic summarization,1.0,1.0,0.757,0.757,0.8,0.9,0.8,0.9
10,Dynamic programming,1.0,1.0,0.599,0.599,0.8,0.7,0.8,0.7
11,Genetic algorithm,1.0,1.0,0.613,0.613,0.6,0.8,0.6,0.8
12,Human-computer interaction,0.0,1.0,0.0,0.852,0.0,0.0,1.0,0.9
13,Categorial grammar,1.0,1.0,0.217,0.217,0.4,0.3,0.4,0.3
14,Semantic Web,1.0,1.0,0.789,0.879,1.0,0.8,1.0,0.9
15,fuzzy logic,1.0,1.0,0.7,0.879,1.0,0.7,1.0,0.9
16,image restoration,1.0,1.0,0.733,0.733,1.0,0.8,1.0,0.8
17,generative model,0.2,0.2,0.02,0.02,0.2,0.1,0.2,0.1
18,search algorithm,0.2,0.2,0.118,0.185,0.2,0.4,0.2,0.5
19,sample size determination,1.0,1.0,0.277,0.277,0.4,0.4,0.4,0.4
20,anomaly detection,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,sentiment analysis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,semantic similarity,1.0,1.0,0.56,0.56,1.0,0.6,1.0,0.6
23,world wide web,1.0,1.0,0.879,0.879,1.0,0.9,1.0,0.9
24,gibbs sampling,1.0,1.0,0.733,0.733,1.0,0.8,1.0,0.8
25,user interface,0.333,0.333,0.341,0.341,0.6,0.6,0.6,0.6
26,belief propagation,1.0,1.0,0.348,0.89,0.6,0.5,1.0,0.9
27,interpolation,0.333,0.333,0.296,0.296,0.4,0.6,0.4,0.6
28,wavelet transform,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,transfer of learning,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,topic model,1.0,1.0,0.79,0.79,0.8,0.9,0.8,0.9
31,clustering high-dimensional data,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,game theory,0.5,0.5,0.608,0.608,0.8,0.8,0.8,0.8
33,biometrics,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
34,constraint satisfaction,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,combinatorial optimization,1.0,1.0,0.3,0.506,0.4,0.4,0.4,0.7
36,speech processing,1.0,1.0,0.866,1.0,1.0,0.9,1.0,1.0
37,multi-agent system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,mean field theory,1.0,1.0,0.392,0.473,0.6,0.5,0.6,0.6
39,social network,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,lattice model,0.0,1.0,0.0,0.15,0.0,0.0,0.4,0.2
41,automatic image annotation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,computational geometry,0.5,1.0,0.396,0.727,0.6,0.6,0.8,0.8
43,Evolutionary algorithm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,web search query,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
45,eye tracking,1.0,1.0,0.704,0.704,0.8,0.8,0.8,0.8
46,query optimization,1.0,1.0,0.598,1.0,0.6,0.8,1.0,1.0
47,logic programming,1.0,1.0,0.89,0.89,1.0,0.9,1.0,0.9
48,Hyperspectral imaging,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,Bayesian statistics,1.0,1.0,0.42,1.0,0.6,0.5,1.0,1.0
50,kernel density estimation,0.5,1.0,0.598,1.0,0.8,0.8,1.0,1.0
51,learning to rank,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,relational database,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,activity recognition,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
54,wearable computer,0.333,0.333,0.033,0.033,0.2,0.1,0.2,0.1
55,big data,1.0,1.0,0.717,0.717,0.8,0.8,0.8,0.8
56,ensemble learning,1.0,1.0,0.158,0.158,0.2,0.3,0.2,0.3
57,wordnet,0.333,0.5,0.104,0.306,0.2,0.3,0.6,0.5
58,medical imaging,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,deconvolution,0.5,1.0,0.192,0.657,0.6,0.3,0.8,0.7
60,Latent Dirichlet allocation,1.0,1.0,0.716,0.866,0.8,0.8,1.0,0.9
61,Euclidian distance,0.0,0.2,0.0,0.262,0.0,0.0,0.2,0.6
62,web service,1.0,1.0,0.79,1.0,0.8,0.9,1.0,1.0
63,multi-task learning,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
64,Linear separability,0.0,1.0,0.0,0.578,0.0,0.0,0.8,0.7
65,OWL-S,0.333,0.333,0.073,0.073,0.4,0.2,0.4,0.2
66,Wireless sensor network,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
67,Semantic role labeling,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0.9
68,Continuous-time Markov chain,0.111,1.0,0.011,1.0,0.0,0.1,1.0,1.0
69,Open Knowledge Base Connectivity,0.0,1.0,0.0,0.673,0.0,0.0,1.0,0.7
70,Propagation of uncertainty,0.0,1.0,0.0,0.193,0.0,0.0,0.4,0.3
71,Fast Fourier transform,1.0,1.0,0.568,0.789,0.8,0.7,1.0,0.8
72,Security token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Novelty detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,semantic grid,0.125,1.0,0.012,1.0,0.0,0.1,1.0,1.0
75,Knowledge extraction,0.333,0.5,0.11,0.548,0.2,0.3,0.6,0.8
76,Computational biology,1.0,1.0,0.815,1.0,0.8,0.9,1.0,1.0
77,Web 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Network theory,0.1,1.0,0.01,0.879,0.0,0.1,1.0,0.9
79,Video denoising,0.5,0.5,0.117,0.117,0.4,0.2,0.4,0.2
80,Quantum information science,1.0,1.0,0.376,1.0,0.4,0.6,1.0,1.0
81,Color quantization,1.0,1.0,0.1,0.815,0.2,0.1,0.8,0.9
82,social web,0.333,1.0,0.188,1.0,0.6,0.4,1.0,1.0
83,entity linking,1.0,1.0,0.38,0.38,0.6,0.5,0.6,0.5
84,information privacy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,random forest,1.0,1.0,0.578,0.578,0.8,0.7,0.8,0.7
86,cloud computing,1.0,1.0,0.3,0.3,0.6,0.3,0.6,0.3
87,Knapsack problem,0.25,0.25,0.207,0.207,0.2,0.5,0.2,0.5
88,Linear algebra,1.0,1.0,0.637,1.0,0.8,0.7,1.0,1.0
89,batch processing,0.0,0.1,0.0,0.01,0.0,0.0,0.0,0.1
90,rule induction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Uncertainty quantification,0.0,1.0,0.0,0.89,0.0,0.0,1.0,0.9
92,Computer architecture,1.0,1.0,0.355,0.852,0.8,0.4,1.0,0.9
93,Best-first search,1.0,1.0,0.125,0.125,0.2,0.2,0.2,0.2
94,Gaussian random field,1.0,1.0,0.12,0.12,0.2,0.2,0.2,0.2
95,Support vector machine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,ontology language,1.0,1.0,0.125,1.0,0.2,0.2,1.0,1.0
97,machine translation,1.0,1.0,0.638,1.0,0.8,0.8,1.0,1.0
98,middleware,0.333,0.333,0.193,0.193,0.6,0.4,0.6,0.4
99,Newton's method,1.0,1.0,0.733,0.733,1.0,0.8,1.0,0.8
