,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
0,cluster analysis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Image segmentation,1.0,1.0,0.583,0.737,0.6,0.7,0.8,0.8
2,Parallel algorithm,1.0,1.0,0.411,0.567,0.8,0.5,1.0,0.6
3,Monte Carlo method,1.0,1.0,0.579,0.579,0.8,0.7,0.8,0.7
4,Convex optimization,1.0,1.0,0.4,0.462,0.8,0.4,0.8,0.5
5,Dimensionality reduction,1.0,1.0,0.753,0.753,1.0,0.8,1.0,0.8
6,Facial recognition system,1.0,1.0,0.67,0.67,1.0,0.7,1.0,0.7
7,k-nearest neighbors algorithm,1.0,1.0,0.498,0.498,0.6,0.6,0.6,0.6
8,Hierarchical clustering,1.0,1.0,0.624,0.704,0.8,0.7,0.8,0.8
9,Automatic summarization,1.0,1.0,0.15,0.188,0.4,0.2,0.4,0.3
10,Dynamic programming,1.0,1.0,0.1,0.355,0.2,0.1,0.8,0.4
11,Genetic algorithm,0.5,0.5,0.204,0.466,0.4,0.4,0.6,0.7
12,Human-computer interaction,0.0,1.0,0.0,0.671,0.0,0.0,0.6,0.8
13,Categorial grammar,0.0,0.5,0.0,0.05,0.0,0.0,0.2,0.1
14,Semantic Web,1.0,1.0,0.3,0.67,0.6,0.3,1.0,0.7
15,fuzzy logic,1.0,1.0,0.1,0.1,0.2,0.1,0.2,0.1
16,image restoration,0.5,1.0,0.083,0.707,0.2,0.2,0.8,0.8
17,generative model,1.0,1.0,0.23,0.23,0.4,0.3,0.4,0.3
18,search algorithm,0.333,0.333,0.154,0.204,0.2,0.4,0.2,0.5
19,sample size determination,1.0,1.0,0.733,0.733,1.0,0.8,1.0,0.8
20,anomaly detection,1.0,1.0,0.337,0.337,0.4,0.5,0.4,0.5
21,sentiment analysis,0.5,0.5,0.05,0.05,0.2,0.1,0.2,0.1
22,semantic similarity,0.5,0.5,0.258,0.258,0.6,0.4,0.6,0.4
23,world wide web,1.0,1.0,0.399,0.55,0.6,0.6,0.8,0.7
24,gibbs sampling,1.0,1.0,0.293,0.293,0.4,0.5,0.4,0.5
25,user interface,1.0,1.0,0.366,0.366,0.6,0.5,0.6,0.5
26,belief propagation,1.0,1.0,0.12,0.155,0.2,0.2,0.2,0.3
27,interpolation,1.0,1.0,0.14,0.14,0.4,0.2,0.4,0.2
28,wavelet transform,1.0,1.0,0.122,0.233,0.2,0.2,0.4,0.3
29,transfer of learning,1.0,1.0,0.3,0.3,0.6,0.3,0.6,0.3
30,topic model,0.333,0.333,0.053,0.053,0.2,0.2,0.2,0.2
31,clustering high-dimensional data,1.0,1.0,0.62,0.62,0.8,0.7,0.8,0.7
32,game theory,0.2,0.2,0.049,0.049,0.2,0.2,0.2,0.2
33,biometrics,1.0,1.0,0.344,0.416,0.4,0.5,0.4,0.6
34,constraint satisfaction,1.0,1.0,0.357,0.357,0.6,0.4,0.6,0.4
35,combinatorial optimization,0.111,0.143,0.031,0.067,0.0,0.2,0.0,0.3
36,speech processing,1.0,1.0,0.167,0.344,0.2,0.3,0.4,0.5
37,multi-agent system,1.0,1.0,0.23,0.23,0.4,0.3,0.4,0.3
38,mean field theory,1.0,1.0,0.15,0.15,0.4,0.2,0.4,0.2
39,social network,1.0,1.0,0.482,0.482,0.6,0.6,0.6,0.6
40,lattice model,0.0,1.0,0.0,0.14,0.0,0.0,0.4,0.2
41,automatic image annotation,1.0,1.0,0.3,0.3,0.6,0.3,0.6,0.3
42,computational geometry,1.0,1.0,0.344,0.556,0.6,0.4,0.6,0.7
43,Evolutionary algorithm,0.5,1.0,0.1,0.745,0.4,0.2,0.8,0.8
