,Query,Exact binary MRR@10,Approximate binary MRR@10,Exact binary MAP@10,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Approximate binary MP@5,Approximate binary MP@10
0,cluster analysis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Image segmentation,1.0,1.0,0.408,0.682,0.6,0.6,0.8,0.8
2,Parallel algorithm,1.0,1.0,0.416,0.506,0.4,0.6,0.4,0.7
3,Monte Carlo method,1.0,1.0,0.575,0.575,0.6,0.7,0.6,0.7
4,Convex optimization,1.0,1.0,0.4,0.4,0.8,0.4,0.8,0.4
5,Dimensionality reduction,1.0,1.0,0.753,0.753,1.0,0.8,1.0,0.8
6,Facial recognition system,1.0,1.0,0.688,0.688,1.0,0.7,1.0,0.7
7,k-nearest neighbors algorithm,1.0,1.0,0.789,0.789,1.0,0.8,1.0,0.8
8,Hierarchical clustering,0.333,0.5,0.341,0.511,0.6,0.6,0.8,0.7
9,Automatic summarization,1.0,1.0,0.14,0.389,0.4,0.2,0.6,0.5
10,Dynamic programming,1.0,1.0,0.1,0.327,0.2,0.1,0.6,0.4
11,Genetic algorithm,1.0,1.0,0.198,0.473,0.2,0.4,0.4,0.7
12,Human-computer interaction,0.0,1.0,0.0,0.313,0.0,0.0,0.4,0.5
13,Categorial grammar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Semantic Web,1.0,1.0,0.12,0.608,0.2,0.2,0.8,0.7
15,fuzzy logic,1.0,1.0,0.1,0.1,0.2,0.1,0.2,0.1
16,image restoration,1.0,1.0,0.35,0.745,0.6,0.4,0.8,0.8
17,generative model,1.0,1.0,0.2,0.2,0.4,0.2,0.4,0.2
18,search algorithm,0.5,0.5,0.273,0.333,0.6,0.5,0.6,0.6
19,sample size determination,1.0,1.0,0.716,0.716,0.8,0.8,0.8,0.8
20,anomaly detection,1.0,1.0,0.233,0.233,0.4,0.4,0.4,0.4
21,sentiment analysis,0.5,0.5,0.072,0.072,0.2,0.2,0.2,0.2
22,semantic similarity,0.333,0.333,0.143,0.143,0.6,0.3,0.6,0.3
