,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
0,cluster analysis,1.0,1.0,1.0,1.0,0.811,1.0,0.811,1.0,1.0,1.0,1.0,1.0,0.96,0.967,0.943,0.9,0.867,0.84,1.0,1.0,1.0,1.0,0.96,0.967,0.943,0.9,0.867,0.84
1,Image segmentation,1.0,1.0,1.0,1.0,0.672,0.852,0.76,0.852,1.0,0.9,0.867,0.9,0.88,0.8,0.829,0.775,0.778,0.78,1.0,0.9,0.867,0.9,0.88,0.867,0.886,0.825,0.844,0.86
2,Parallel algorithm,0.0,0.0,0.5,0.5,0.0,0.0,0.509,0.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.9,0.8,0.8,0.76,0.767,0.743,0.7,0.689,0.66
3,Monte Carlo method,1.0,1.0,1.0,1.0,0.345,0.363,0.41,0.501,0.4,0.6,0.667,0.7,0.64,0.567,0.543,0.55,0.6,0.56,0.6,0.7,0.733,0.75,0.68,0.633,0.6,0.6,0.644,0.6
4,Convex optimization,1.0,1.0,1.0,1.0,0.809,1.0,0.892,1.0,1.0,1.0,1.0,0.95,0.96,0.933,0.914,0.925,0.911,0.84,1.0,1.0,1.0,0.95,0.96,0.967,0.943,0.95,0.956,0.92
5,Dimensionality reduction,1.0,1.0,1.0,1.0,0.51,1.0,0.588,1.0,1.0,1.0,0.933,0.75,0.6,0.667,0.629,0.625,0.622,0.64,1.0,1.0,0.933,0.8,0.64,0.7,0.657,0.675,0.711,0.72
6,Facial recognition system,1.0,1.0,1.0,1.0,0.789,1.0,0.789,1.0,1.0,1.0,0.933,0.9,0.88,0.867,0.886,0.875,0.867,0.86,1.0,1.0,0.933,0.9,0.88,0.867,0.886,0.875,0.867,0.86
7,k-nearest neighbors algorithm,1.0,1.0,1.0,1.0,0.613,0.671,0.65,0.671,0.6,0.8,0.8,0.7,0.72,0.767,0.8,0.825,0.8,0.78,0.6,0.8,0.8,0.7,0.72,0.767,0.8,0.825,0.844,0.82
8,Hierarchical clustering,1.0,1.0,1.0,1.0,0.398,0.7,0.429,0.7,0.8,0.8,0.667,0.6,0.64,0.633,0.571,0.55,0.578,0.58,0.8,0.8,0.667,0.6,0.64,0.633,0.6,0.575,0.6,0.62
9,Automatic summarization,1.0,1.0,1.0,1.0,0.171,0.284,0.214,0.409,0.4,0.5,0.533,0.5,0.52,0.433,0.457,0.4,0.356,0.32,0.6,0.6,0.6,0.55,0.56,0.467,0.486,0.425,0.378,0.36
10,Dynamic programming,1.0,1.0,1.0,1.0,0.383,0.599,0.469,0.599,0.8,0.7,0.667,0.65,0.56,0.567,0.571,0.6,0.6,0.56,0.8,0.7,0.667,0.7,0.68,0.667,0.657,0.675,0.689,0.64
11,Genetic algorithm,1.0,1.0,1.0,1.0,0.306,0.227,0.397,0.227,0.4,0.4,0.333,0.45,0.44,0.5,0.571,0.575,0.6,0.58,0.4,0.4,0.4,0.5,0.52,0.567,0.629,0.65,0.667,0.68
12,Human-computer interaction,0.0,0.0,1.0,1.0,0.0,0.0,0.518,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.667,0.6,0.68,0.733,0.743,0.725,0.733,0.72
13,Categorial grammar,1.0,1.0,1.0,1.0,0.067,0.275,0.122,0.4,0.6,0.3,0.267,0.2,0.16,0.133,0.171,0.15,0.133,0.12,0.8,0.4,0.333,0.3,0.28,0.233,0.257,0.275,0.244,0.22
14,Semantic Web,1.0,1.0,1.0,1.0,0.417,0.473,0.747,0.725,0.6,0.6,0.533,0.55,0.6,0.633,0.686,0.625,0.622,0.64,0.8,0.8,0.8,0.8,0.8,0.833,0.857,0.85,0.867,0.88
15,fuzzy logic,1.0,1.0,1.0,1.0,0.464,0.7,0.584,0.879,1.0,0.7,0.6,0.65,0.68,0.733,0.714,0.65,0.644,0.62,1.0,0.9,0.733,0.8,0.8,0.833,0.8,0.725,0.711,0.7
16,image restoration,1.0,1.0,1.0,1.0,0.583,0.789,0.693,0.9,1.0,0.8,0.8,0.8,0.8,0.8,0.714,0.7,0.689,0.72,1.0,0.9,0.867,0.85,0.84,0.867,0.8,0.775,0.778,0.8
17,generative model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,search algorithm,1.0,1.0,1.0,1.0,0.053,0.167,0.149,0.34,0.4,0.2,0.133,0.2,0.2,0.167,0.171,0.175,0.156,0.14,0.6,0.4,0.333,0.4,0.36,0.333,0.343,0.35,0.333,0.3
19,sample size determination,1.0,1.0,1.0,1.0,0.464,0.79,0.464,0.79,0.8,0.9,0.867,0.85,0.8,0.667,0.629,0.65,0.6,0.58,0.8,0.9,0.867,0.85,0.8,0.667,0.629,0.65,0.6,0.58
20,anomaly detection,1.0,1.0,1.0,1.0,0.472,0.9,0.507,0.9,1.0,0.9,0.8,0.75,0.68,0.7,0.657,0.675,0.6,0.6,1.0,0.9,0.867,0.8,0.72,0.733,0.686,0.7,0.622,0.62
21,sentiment analysis,1.0,1.0,1.0,1.0,0.258,0.776,0.258,0.776,1.0,0.8,0.667,0.55,0.44,0.433,0.457,0.4,0.378,0.36,1.0,0.8,0.667,0.55,0.44,0.433,0.457,0.4,0.378,0.36
22,semantic similarity,1.0,1.0,1.0,1.0,0.516,0.79,0.516,0.79,0.8,0.9,0.933,0.8,0.72,0.633,0.657,0.7,0.667,0.66,0.8,0.9,0.933,0.8,0.72,0.633,0.657,0.7,0.667,0.66
23,world wide web,1.0,1.0,1.0,1.0,0.674,0.717,0.766,0.717,0.8,0.8,0.867,0.85,0.88,0.867,0.8,0.775,0.778,0.8,0.8,0.8,0.867,0.85,0.88,0.9,0.857,0.85,0.867,0.88
24,gibbs sampling,1.0,1.0,1.0,1.0,0.448,0.757,0.448,0.757,0.8,0.9,0.8,0.65,0.6,0.633,0.657,0.675,0.644,0.62,0.8,0.9,0.8,0.65,0.6,0.633,0.657,0.675,0.644,0.62
25,user interface,1.0,1.0,1.0,1.0,0.606,0.671,0.696,0.815,0.6,0.8,0.8,0.8,0.84,0.767,0.8,0.75,0.733,0.76,0.8,0.9,0.933,0.9,0.92,0.833,0.857,0.8,0.778,0.8
