,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
0,cluster analysis,1.0,1.0,1.0,1.0,0.863,1.0,0.863,1.0,1.0,1.0,1.0,0.95,0.92,0.933,0.914,0.925,0.933,0.9,1.0,1.0,1.0,0.95,0.92,0.933,0.914,0.925,0.933,0.9
1,Image segmentation,1.0,1.0,1.0,1.0,0.567,0.7,0.842,0.89,1.0,0.7,0.733,0.7,0.72,0.767,0.743,0.725,0.711,0.72,1.0,0.9,0.933,0.95,0.92,0.933,0.914,0.9,0.889,0.9
2,Parallel algorithm,0.0,0.0,1.0,1.0,0.0,0.0,0.489,0.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,0.7,0.76,0.667,0.629,0.675,0.644,0.64
3,Monte Carlo method,1.0,1.0,1.0,1.0,0.839,0.815,0.839,0.815,0.8,0.9,0.933,0.95,0.96,0.967,0.943,0.925,0.889,0.9,0.8,0.9,0.933,0.95,0.96,0.967,0.943,0.925,0.889,0.9
4,Convex optimization,1.0,1.0,1.0,1.0,0.713,0.835,0.837,0.835,0.8,0.9,0.867,0.9,0.88,0.9,0.914,0.875,0.778,0.8,0.8,0.9,0.933,0.95,0.92,0.933,0.943,0.925,0.889,0.9
5,Dimensionality reduction,1.0,1.0,1.0,1.0,0.62,1.0,0.657,1.0,1.0,1.0,1.0,0.9,0.8,0.7,0.743,0.7,0.711,0.72,1.0,1.0,1.0,0.9,0.8,0.7,0.743,0.725,0.756,0.76
6,Facial recognition system,1.0,1.0,1.0,1.0,0.899,1.0,0.934,1.0,1.0,1.0,0.933,0.95,0.92,0.933,0.943,0.95,0.956,0.94,1.0,1.0,0.933,0.95,0.96,0.967,0.971,0.975,0.978,0.96
7,k-nearest neighbors algorithm,1.0,1.0,1.0,1.0,0.854,1.0,0.854,1.0,1.0,1.0,1.0,0.95,0.96,0.933,0.914,0.875,0.889,0.9,1.0,1.0,1.0,0.95,0.96,0.933,0.914,0.875,0.889,0.9
8,Hierarchical clustering,1.0,1.0,1.0,1.0,0.396,0.307,0.506,0.307,0.4,0.5,0.6,0.7,0.72,0.633,0.657,0.65,0.6,0.62,0.4,0.5,0.667,0.75,0.76,0.733,0.743,0.75,0.711,0.72
9,Automatic summarization,1.0,1.0,1.0,1.0,0.419,0.9,0.419,0.9,1.0,0.9,0.733,0.6,0.6,0.633,0.629,0.625,0.6,0.56,1.0,0.9,0.733,0.6,0.6,0.633,0.629,0.625,0.6,0.56
