,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
0,cluster analysis,1.0,1.0,1.0,1.0,0.811,1.0,0.836,1.0,1.0,1.0,1.0,1.0,0.96,0.9,0.857,0.85,0.867,0.86,1.0,1.0,1.0,1.0,0.96,0.9,0.886,0.875,0.889,0.88
1,Image segmentation,1.0,1.0,1.0,1.0,0.767,0.852,0.809,0.852,1.0,0.9,0.933,0.95,0.96,0.867,0.857,0.85,0.867,0.84,1.0,0.9,0.933,0.95,0.96,0.867,0.886,0.875,0.889,0.88
2,Parallel algorithm,0.5,0.5,0.5,0.5,0.323,0.488,0.464,0.488,0.8,0.7,0.667,0.65,0.68,0.6,0.6,0.55,0.489,0.5,0.8,0.7,0.667,0.7,0.72,0.733,0.743,0.725,0.667,0.66
3,Monte Carlo method,1.0,1.0,1.0,1.0,0.831,1.0,0.861,1.0,1.0,1.0,1.0,1.0,1.0,0.933,0.943,0.925,0.867,0.86,1.0,1.0,1.0,1.0,1.0,0.967,0.971,0.95,0.889,0.88
4,Convex optimization,1.0,1.0,1.0,1.0,0.705,1.0,0.924,1.0,1.0,1.0,0.867,0.9,0.88,0.867,0.886,0.825,0.8,0.78,1.0,1.0,1.0,1.0,1.0,0.967,0.971,0.95,0.956,0.94
5,Dimensionality reduction,0.5,0.5,0.5,0.5,0.673,0.707,0.73,0.707,0.8,0.9,0.867,0.75,0.8,0.833,0.829,0.85,0.822,0.82,0.8,0.9,0.867,0.75,0.8,0.833,0.829,0.85,0.867,0.88
6,Facial recognition system,1.0,1.0,1.0,1.0,0.977,1.0,0.977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.978,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.978,0.98
7,k-nearest neighbors algorithm,1.0,1.0,1.0,1.0,0.638,0.835,0.666,0.835,0.8,0.9,0.867,0.85,0.8,0.733,0.743,0.725,0.756,0.78,0.8,0.9,0.867,0.85,0.84,0.767,0.771,0.75,0.778,0.8
8,Hierarchical clustering,0.5,0.5,0.5,0.5,0.191,0.548,0.396,0.707,0.6,0.8,0.667,0.55,0.44,0.4,0.4,0.375,0.356,0.32,0.8,0.9,0.8,0.85,0.72,0.633,0.6,0.575,0.578,0.54
9,Automatic summarization,1.0,1.0,1.0,1.0,0.606,0.757,0.606,0.757,0.8,0.9,0.867,0.9,0.88,0.833,0.8,0.75,0.711,0.72,0.8,0.9,0.867,0.9,0.88,0.833,0.8,0.75,0.711,0.72
10,Dynamic programming,1.0,1.0,1.0,1.0,0.368,0.599,0.47,0.599,0.8,0.7,0.667,0.6,0.6,0.567,0.6,0.6,0.578,0.54,0.8,0.7,0.667,0.75,0.72,0.667,0.686,0.7,0.667,0.64
11,Genetic algorithm,1.0,1.0,1.0,1.0,0.602,0.613,0.7,0.613,0.6,0.8,0.733,0.7,0.76,0.8,0.829,0.8,0.778,0.78,0.6,0.8,0.8,0.75,0.8,0.833,0.857,0.85,0.844,0.86
12,Human-computer interaction,0.0,0.0,1.0,1.0,0.0,0.0,0.576,0.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.733,0.6,0.64,0.7,0.743,0.775,0.733,0.74
13,Categorial grammar,1.0,1.0,1.0,1.0,0.095,0.217,0.217,0.217,0.4,0.3,0.267,0.25,0.32,0.3,0.257,0.275,0.244,0.24,0.4,0.3,0.333,0.4,0.44,0.467,0.429,0.5,0.467,0.46
14,Semantic Web,1.0,1.0,1.0,1.0,0.627,0.789,0.84,0.879,1.0,0.8,0.8,0.85,0.88,0.867,0.829,0.8,0.778,0.72,1.0,0.9,0.933,0.95,0.96,0.967,0.971,0.95,0.933,0.88
15,fuzzy logic,1.0,1.0,1.0,1.0,0.552,0.7,0.704,0.879,1.0,0.7,0.6,0.65,0.68,0.733,0.771,0.75,0.711,0.72,1.0,0.9,0.8,0.8,0.8,0.833,0.857,0.85,0.8,0.82
16,image restoration,1.0,1.0,1.0,1.0,0.544,0.733,0.652,0.733,1.0,0.8,0.733,0.8,0.76,0.733,0.686,0.65,0.689,0.7,1.0,0.8,0.8,0.85,0.88,0.833,0.771,0.75,0.778,0.78
17,generative model,0.2,0.2,0.2,0.2,0.004,0.02,0.004,0.02,0.2,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02,0.2,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02
18,search algorithm,0.2,0.2,0.2,0.2,0.164,0.118,0.269,0.185,0.2,0.4,0.4,0.45,0.48,0.4,0.4,0.475,0.422,0.4,0.2,0.5,0.533,0.6,0.6,0.5,0.514,0.575,0.511,0.52
19,sample size determination,1.0,1.0,1.0,1.0,0.112,0.277,0.112,0.277,0.4,0.4,0.333,0.35,0.28,0.3,0.257,0.275,0.267,0.26,0.4,0.4,0.333,0.35,0.28,0.3,0.257,0.275,0.267,0.26
20,anomaly detection,1.0,1.0,1.0,1.0,0.746,1.0,0.775,1.0,1.0,1.0,1.0,0.9,0.84,0.833,0.829,0.8,0.822,0.82,1.0,1.0,1.0,0.9,0.88,0.867,0.857,0.825,0.844,0.84
21,sentiment analysis,1.0,1.0,1.0,1.0,0.696,1.0,0.696,1.0,1.0,1.0,0.867,0.85,0.88,0.9,0.857,0.775,0.778,0.78,1.0,1.0,0.867,0.85,0.88,0.9,0.857,0.775,0.778,0.78
22,semantic similarity,1.0,1.0,1.0,1.0,0.395,0.56,0.395,0.56,1.0,0.6,0.6,0.55,0.64,0.7,0.6,0.575,0.556,0.58,1.0,0.6,0.6,0.55,0.64,0.7,0.6,0.575,0.556,0.58
