,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
0,cluster analysis,1.0,1.0,1.0,1.0,0.794,0.89,0.794,0.89,1.0,0.9,0.933,0.95,0.96,0.933,0.886,0.825,0.844,0.86,1.0,0.9,0.933,0.95,0.96,0.933,0.886,0.825,0.844,0.86
1,Image segmentation,1.0,1.0,1.0,1.0,0.261,0.465,0.493,0.627,0.6,0.6,0.533,0.45,0.48,0.467,0.457,0.475,0.467,0.46,0.8,0.7,0.733,0.7,0.72,0.7,0.657,0.65,0.667,0.66
2,Parallel algorithm,1.0,1.0,1.0,1.0,0.133,0.337,0.193,0.337,0.4,0.5,0.4,0.35,0.28,0.333,0.314,0.3,0.289,0.3,0.4,0.5,0.4,0.45,0.4,0.433,0.429,0.4,0.378,0.4
3,Monte Carlo method,1.0,1.0,1.0,1.0,0.199,0.429,0.211,0.429,0.6,0.5,0.533,0.45,0.44,0.367,0.343,0.35,0.356,0.36,0.6,0.5,0.533,0.45,0.44,0.4,0.371,0.375,0.378,0.38
4,Convex optimization,1.0,1.0,1.0,1.0,0.061,0.167,0.158,0.2,0.4,0.2,0.267,0.2,0.2,0.167,0.171,0.15,0.178,0.18,0.4,0.3,0.4,0.3,0.32,0.4,0.371,0.35,0.378,0.38
5,Dimensionality reduction,1.0,1.0,1.0,1.0,0.343,0.663,0.371,0.663,1.0,0.7,0.6,0.5,0.52,0.533,0.543,0.5,0.511,0.52,1.0,0.7,0.6,0.5,0.52,0.533,0.543,0.55,0.556,0.56
6,Facial recognition system,1.0,1.0,1.0,1.0,0.227,0.586,0.227,0.586,1.0,0.6,0.6,0.45,0.48,0.467,0.429,0.4,0.378,0.34,1.0,0.6,0.6,0.45,0.48,0.467,0.429,0.4,0.378,0.34
7,k-nearest neighbors algorithm,1.0,1.0,1.0,1.0,0.361,0.509,0.361,0.509,0.8,0.6,0.467,0.55,0.56,0.567,0.543,0.525,0.578,0.58,0.8,0.6,0.467,0.55,0.56,0.567,0.543,0.525,0.578,0.58
8,Hierarchical clustering,1.0,1.0,1.0,1.0,0.281,0.516,0.352,0.62,0.8,0.6,0.6,0.55,0.52,0.5,0.457,0.4,0.422,0.46,0.8,0.7,0.667,0.65,0.6,0.6,0.543,0.475,0.489,0.52
9,Automatic summarization,1.0,1.0,1.0,1.0,0.07,0.23,0.118,0.315,0.4,0.3,0.267,0.2,0.2,0.2,0.2,0.2,0.178,0.16,0.6,0.4,0.333,0.25,0.28,0.267,0.286,0.275,0.289,0.26
10,Dynamic programming,1.0,1.0,1.0,1.0,0.102,0.12,0.191,0.377,0.2,0.2,0.133,0.2,0.28,0.3,0.286,0.275,0.311,0.32,0.6,0.5,0.333,0.35,0.4,0.4,0.371,0.35,0.378,0.4
