,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
0,cluster analysis,1.0,1.0,1.0,1.0,0.893,1.0,0.893,1.0,1.0,1.0,1.0,1.0,1.0,0.967,0.943,0.9,0.911,0.92,1.0,1.0,1.0,1.0,1.0,0.967,0.943,0.9,0.911,0.92
1,Image segmentation,1.0,1.0,1.0,1.0,0.307,0.543,0.562,0.815,0.6,0.7,0.6,0.5,0.52,0.533,0.543,0.525,0.511,0.5,0.8,0.9,0.8,0.75,0.76,0.767,0.743,0.725,0.711,0.7
2,Parallel algorithm,0.5,0.5,0.5,0.5,0.131,0.224,0.178,0.224,0.4,0.4,0.4,0.4,0.32,0.367,0.314,0.3,0.311,0.32,0.4,0.4,0.4,0.45,0.4,0.433,0.4,0.375,0.4,0.4
3,Monte Carlo method,1.0,1.0,1.0,1.0,0.214,0.489,0.228,0.489,0.6,0.6,0.533,0.5,0.44,0.4,0.371,0.375,0.378,0.38,0.6,0.6,0.533,0.5,0.44,0.433,0.4,0.4,0.4,0.4
4,Convex optimization,1.0,1.0,1.0,1.0,0.094,0.3,0.201,0.34,0.6,0.3,0.333,0.25,0.24,0.2,0.2,0.2,0.2,0.2,0.6,0.4,0.467,0.35,0.36,0.433,0.4,0.4,0.422,0.4
5,Dimensionality reduction,1.0,1.0,1.0,1.0,0.364,0.743,0.395,0.743,1.0,0.8,0.6,0.5,0.56,0.6,0.543,0.525,0.533,0.54,1.0,0.8,0.6,0.5,0.56,0.6,0.571,0.575,0.578,0.58
6,Facial recognition system,1.0,1.0,1.0,1.0,0.257,0.688,0.257,0.688,1.0,0.7,0.667,0.5,0.52,0.5,0.457,0.425,0.4,0.36,1.0,0.7,0.667,0.5,0.52,0.5,0.457,0.425,0.4,0.36
7,k-nearest neighbors algorithm,0.5,0.5,0.5,0.5,0.351,0.356,0.351,0.356,0.6,0.6,0.533,0.55,0.56,0.6,0.6,0.575,0.6,0.6,0.6,0.6,0.533,0.55,0.56,0.6,0.6,0.575,0.6,0.6
8,Hierarchical clustering,1.0,1.0,1.0,1.0,0.281,0.486,0.351,0.624,0.6,0.6,0.6,0.6,0.56,0.5,0.429,0.45,0.489,0.46,0.8,0.7,0.667,0.65,0.6,0.567,0.486,0.5,0.533,0.52
9,Automatic summarization,0.5,0.5,0.5,0.5,0.057,0.147,0.119,0.217,0.4,0.3,0.267,0.2,0.16,0.2,0.2,0.2,0.178,0.18,0.6,0.4,0.4,0.3,0.28,0.3,0.314,0.3,0.311,0.3
10,Dynamic programming,1.0,1.0,1.0,1.0,0.122,0.122,0.217,0.382,0.2,0.2,0.133,0.2,0.32,0.333,0.314,0.35,0.333,0.36,0.6,0.5,0.333,0.35,0.44,0.433,0.4,0.425,0.422,0.44
11,Genetic algorithm,0.5,0.5,0.5,0.5,0.128,0.18,0.421,0.359,0.4,0.4,0.333,0.25,0.28,0.333,0.314,0.325,0.311,0.36,0.6,0.6,0.6,0.6,0.64,0.7,0.657,0.65,0.644,0.66
12,Human-computer interaction,0.0,0.0,1.0,1.0,0.0,0.0,0.177,0.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.533,0.45,0.36,0.367,0.343,0.325,0.311,0.28
