,author,papers,declared
0,100047651,2,32
1,1000859103,1,5
2,100110539,2,13
3,100167829,11,117
4,100252078,3,131
5,100329588,1,12
6,100340289,1,4
7,100346487,1,6
8,1003866314,2,31
9,100438716,3,11
10,1004502543,3,35
11,100500699,3,23
12,100504815,1,16
13,1006105052,6,88
14,100613083,2,87
15,1006355709,5,46
16,100644258,2,24
17,100679840,2,76
18,100716409,1,10
19,100748767,5,149
20,1008553553,1,10
21,100894541,1,25
22,100906785,15,35
23,100988613,17,248
24,100990651,1,8
25,100996488,3,27
26,10112205,5,62
27,1012478477,5,15
28,1013389924,8,228
29,101382310,4,65
30,1014606977,1,68
31,101464240,22,159
32,101580049,7,166
33,101604710,5,93
34,101723567,1,42
35,1017381700,3,12
36,101752263,1,45
37,101812454,3,30
38,101837688,2,37
39,101882820,1,3
40,1019296130,5,31
41,1019882052,1,19
42,1019914023,3,4
43,102181720,17,77
44,1022046990,3,39
45,102275141,66,259
46,102275441,2,79
47,1022942653,1,36
48,102302551,4,134
49,102307902,2,106
50,1023361224,13,335
51,1024062337,1,37
52,102421169,1,83
53,102426889,1,23
54,1024828127,4,29
55,1025058937,1,22
56,1025721006,1,1
57,102618194,3,97
58,102660889,11,169
59,102740216,8,9
60,102775300,2,61
61,1028054495,3,29
62,102822812,8,76
63,1028961129,2,10
64,103064199,11,269
65,103091330,3,11
66,103109707,5,130
67,103135560,3,63
68,1031839550,9,13
69,1032174141,3,123
70,103247971,2,27
71,1032776977,1,6
72,1033468496,3,48
73,103415842,42,154
74,1034462096,1,32
75,1034661245,13,240
76,103510680,9,37
77,103518456,2,58
78,103758799,4,101
79,10380012,8,190
80,1038730416,6,137
81,103875219,1,116
82,1039866170,1,9
83,10411120,1,297
84,104152103,1,31
85,1041776687,4,57
86,104185088,18,181
87,104342997,7,34
88,104359286,1,4
89,1043600792,2,239
90,1044551098,8,25
91,104489385,1,59
92,1045142879,3,45
93,10451749,6,147
94,1046045411,5,9
95,10460767,4,70
96,1046116173,2,40
97,104655805,4,57
98,1047662447,12,257
99,1048081354,7,30
100,104822329,13,265
101,104911722,1,17
102,1049754512,1,8
103,1050025284,1,2
104,1050266156,3,92
105,1050275254,2,10
106,1050709228,1,51
107,105217245,1,48
108,1052878327,1,57
109,1053211612,1,39
110,1054185859,7,38
111,1054585862,2,45
112,105508893,1,103
113,1055872402,6,118
114,105664081,1,268
115,105756682,24,29
116,1057636803,2,45
117,1057827413,1,32
118,105821596,2,39
119,1058258368,2,132
120,105840890,1,7
121,105864013,2,17
122,105886898,9,27
123,105898155,8,41
124,1060440113,3,62
125,1060503896,2,23
126,106156815,2,5
127,1061580540,1,78
128,1062125593,4,13
129,106251737,5,52
130,106255914,2,90
131,106286932,5,88
132,1063590995,1,4
133,1063700198,4,66
134,106371919,2,88
135,106487893,1,226
136,1065006198,1,41
137,106504799,1,50
138,1065270698,1,140
139,106598546,1,180
140,106605524,6,22
141,106645434,1,15
142,106711295,1,43
143,1067124268,1,27
144,106782339,3,194
145,1067964827,6,16
146,106804613,1,34
147,1068639101,1,4
148,106875839,5,65
149,106876000,1,21
150,1069667148,3,45
151,106971332,27,132
152,106976540,5,15
153,10698082,1,8
154,106988226,4,81
155,106990159,1,84
156,107002532,2,10
157,1071350510,7,264
158,1072045474,3,97
159,107267273,2,26
160,1072744873,4,4
161,1073530958,5,216
162,1073727088,4,18
163,1074397613,1,6
164,107466247,2,110
165,107478439,1,10
166,1075030466,1,39
167,1075127431,2,7
168,1075205295,1,7
169,1075592465,86,276
170,1076411443,1,75
171,1076969461,3,21
172,107712532,8,44
173,1078264507,1,15
174,1078393728,1,15
175,1078543666,3,243
176,1078637832,1,7
177,1080002251,3,26
178,108026667,6,57
179,108113495,16,163
180,108138492,2,13
181,108207645,3,70
182,1082230392,5,43
183,1082331640,5,17
184,108361663,3,45
185,1083860364,2,14
186,108406206,79,237
187,1084069346,1,242
188,108414181,1,5
189,1084254404,5,10
190,1084342870,4,10
191,108506045,3,216
192,1085267375,11,19
193,108551919,5,141
194,1086503097,4,5
195,1087172678,1,11
196,1087393649,1,327
197,108769240,2,16
198,1088542956,2,24
199,108856358,1,2
200,108906927,4,55
201,1089453892,2,14
202,1089788013,5,21
203,1089869590,8,130
204,108992500,4,640
205,1089947631,2,141
206,1090121724,6,57
207,1090954711,1,16
208,109109034,4,123
209,1092713733,1,1
210,1093191265,6,40
211,109345557,12,33
212,109346679,5,144
213,1093674234,1,13
214,1093910895,3,7
215,109440833,5,56
216,1094438419,5,62
217,1094526686,1,4
218,1094923726,1,14
219,109505392,1,4
220,109515386,2,37
221,1095635289,2,158
222,10965014,1,34
223,109665674,1,44
224,10967082,19,37
225,1097619898,1,8
226,1097733135,7,13
227,10978633,1,9
228,1097896306,3,7
229,109847712,1,56
230,1098725839,3,16
231,109906890,6,82
232,109913727,1,9
233,1099152848,1,20
234,1099232490,1,281
235,1099293965,1,215
236,1101262714,2,236
237,1101850,2,16
238,1102345007,3,24
239,1102819124,1,5
240,1102884835,4,8
241,110331249,1,24
242,1103513122,3,14
243,110357301,11,43
244,1103578285,2,30
245,110365202,1,28
246,1103885863,1,11
247,11039266,1,43
248,1104468314,4,51
249,110481184,4,20
250,1104975669,5,48
251,1105878130,3,28
252,110608958,1,11
253,1106520654,2,19
254,1108091966,1,35
255,110843643,1,33
256,11088104,2,68
257,110954821,6,96
258,1109698060,1,33
259,1109736394,10,135
260,111006156,2,22
261,11102111,5,93
262,111035548,1,217
263,1110566614,2,9
264,111083912,2,17
265,111233263,20,215
266,1112458746,2,36
267,111250081,8,53
268,1112763234,2,140
269,111302929,7,149
270,111321973,2,16
271,1113585828,6,107
272,1113808300,3,15
273,1114247317,2,61
274,111464153,2,4
275,111496783,5,42
276,111504438,2,216
277,111510985,1,9
278,1115355725,2,3
279,1115548098,10,117
280,1115692902,8,116
281,111700316,1,85
282,111707300,1,60
283,1117332417,2,8
284,1117635875,1,18
285,1119639719,1,10
286,1119718656,10,189
287,111975288,11,93
288,111994680,3,11
289,112029828,4,41
290,112051583,1,23
291,1120960849,7,117
292,1121013121,21,97
293,1121136751,21,166
294,112158771,1,6
295,1121622246,1,8
296,1121744697,1,8
297,112209514,13,300
298,112212400,2,71
299,112264638,1,35
300,112290446,4,49
301,112407019,14,40
302,1124331519,6,19
303,1124562777,7,144
304,1124596973,1,4
305,1124611383,4,40
306,1124620512,4,119
307,112465256,1,5
308,1124993540,1,4
309,112535025,3,61
310,1125528765,10,45
311,1125783698,1,129
312,112579409,2,103
313,112613578,2,185
314,112643518,1,36
315,1126748653,1,26
316,112683000,5,121
317,112720797,4,66
318,1127475603,4,239
319,112755804,1,14
320,1127615553,8,46
321,1127778,1,9
322,112784420,1,85
323,1128290216,13,23
324,1128792358,5,43
325,112880940,5,211
326,1128886760,7,55
327,112933558,14,119
328,1129598469,7,53
329,112986770,16,24
330,113008519,5,210
331,1130427738,1,18
332,1131070213,1,17
333,113108355,1,94
334,113116722,14,133
335,113177573,2,52
336,1132442354,23,421
337,1132515649,13,146
338,1132611271,3,104
339,1132978529,5,25
340,1133076831,13,32
341,1134228128,3,12
342,113447990,3,15
343,1134925310,1,33
344,1135277573,1,12
345,1135668241,1,51
346,113595511,1,62
347,113617264,1,43
348,1136363840,1,19
349,1136656317,3,7
350,113721321,2,171
351,113766993,1,4
352,1138373401,2,140
353,11391556,19,149
354,1139503581,2,11
355,1139919548,2,29
356,1140414291,2,6
357,1140460861,1,11
358,114048148,3,265
359,1140648452,1,10
360,1140831031,55,129
361,11409961,13,179
362,114139156,2,411
363,114219197,11,53
364,1142397388,7,12
365,1142531108,1,61
366,114267730,4,104
367,114271355,1,45
368,1142943966,5,26
369,1143018393,1,2
370,114352313,1,50
371,1144138726,10,146
372,1144267250,4,5
373,1144865590,4,201
374,1145175247,3,9
375,1145216661,1,325
376,1145561025,1,16
377,114586512,2,54
378,1146033600,2,40
379,1146904004,1,3
380,114700236,6,107
381,114836604,1,6
382,114841185,27,124
383,1148572950,22,161
384,114863092,2,98
385,114901619,15,105
386,114908009,9,219
387,1149324322,3,75
388,1149407039,1,6
389,115057300,2,141
390,115072156,1,18
391,115078576,3,112
392,115085028,2,28
393,1150893283,4,304
394,115114929,5,121
395,1151310179,1,29
396,1151373816,1,160
397,1151397982,3,54
398,1151530292,14,49
399,1151558386,4,9
400,115176784,3,30
401,1152002260,2,9
402,1152290301,1,27
403,1152366434,8,165
404,1152630,1,7
405,1153094334,5,30
406,1153133090,1,30
407,115314246,1,150
408,1153346776,1,11
409,1153954206,3,40
410,11543328,2,231
411,115442323,1,378
412,1155923358,1,74
413,1156305176,1,600
414,115698191,1,2
415,1156985784,1,14
416,1156989899,1,21
417,1157737953,42,183
418,1157818154,2,19
419,1157944989,1,92
420,1158934300,5,33
421,115916690,1,83
422,1159417788,11,626
423,1160023076,2,29
424,1160350079,4,118
425,1160385735,2,4
426,116046974,1,38
427,1160973328,1,5
428,1161247710,4,90
429,116150614,2,180
430,116215800,1,79
431,1162469211,10,128
432,116338899,1,55
433,116345214,2,102
434,116349491,5,146
435,116357114,6,350
436,1163936183,3,146
437,1163940656,2,20
438,1163992296,2,52
439,1164225383,4,23
440,1164247981,4,27
441,1164257505,1,156
442,1164417488,1,12
443,1164844948,2,92
444,1164954290,3,21
445,1165401390,1,16
446,116546154,3,30
447,116639046,20,168
448,116678117,1,3
449,116760373,4,5
450,1167787926,1,76
451,1167884864,2,24
452,116842873,2,30
453,116872656,4,17
454,1168736529,3,158
455,1169494551,14,77
456,116957653,2,13
457,1169607895,4,27
458,116974697,1,20
459,1169941241,1,50
460,1170396044,3,4
461,1170454603,2,13
462,1171453863,12,12
463,117173690,2,84
464,1172064443,1,30
465,1172313438,1,43
466,1172530,1,3
467,11725370,4,183
468,1172710634,1,12
469,1173511691,2,11
470,1173539484,1,14
471,117362078,2,5
472,1173647859,2,8
473,1173758287,2,32
474,117380261,1,50
475,1173963865,1,49
476,117399983,9,39
